po_id,vendor_id,vendor_name_raw,category_code,business_purpose,item_description,amount_raw,currency,created_at,attachment_ids
PO-2026-00020,,澄明,AI_CONSULTING,制度设计采购，用于交付保障,合规咨询 - 轻量包,60114,CNY,2026-03-08,ATT-00009
PO-2026-00021,,北辰,AI_CONSULTING,AI治理采购，用于二期扩容,培训工作坊 - 月度包,42779,CNY,2026-03-13,ATT-00010
PO-2026-00022,V0012,Yuanlan Events,TRAVEL_EVENT,交通采购，用于年度专项,活动执行 - 加急包,5737,CNY,2026-04-26,ATT-00004
PO-2026-00023,V0010,启衡办公用品,OFFICE_SUPPLY,桌椅采购，用于年度专项,打印 - 轻量包,2031,CNY,2026-12-25,
PO-2026-00024,V0011,启衡智能设备,OFFICE_SUPPLY,工位采购，用于临时支持,耗材 - 加急包,58180,CNY,2026-09-14,ATT-00016;ATT-00021
PO-2026-00025,V0001,星河算力科技有限公司,COMPUTE_SERVICE,推理节点采购，用于二期扩容,模型评测 - 月度包,65537,CNY,2026-07-01,
PO-2026-00026,V0002,星河咨询服务有限公司,,培训工作坊采购，用于临时支持,模型风险 - 轻量包,8035,CNY,2026-07-07,ATT-00019
PO-2026-00027,V0004,北辰安全技术有限公司,SECURITY_ASSESSMENT,漏洞扫描采购，用于临时支持,渗透测试 - 标准包,28144,CNY,2026-05-07,
PO-2026-00028,V0006,云杉数据治理,DATA_GOVERNANCE,数据目录采购，用于跨部门协作,标签治理 - 轻量包,,CNY,2026-12-28,ATT-00015
PO-2026-00029,V0007,云杉云软件有限公司,SOFTWARE_SUBSCRIPTION,订阅采购，用于年度专项,监控平台 - 专项包,40231,CNY,2026-11-13,
PO-2026-00030,V0011,Qiheng Devices,HARDWARE_DEVICE,终端设备采购，用于交付保障,智能硬件 - 专项包,16566,CNY,2026-09-10,
PO-2026-00031,V0009,澄明培训咨询,AI_CONSULTING,模型风险采购，用于临时支持,制度设计 - 加急包,65677,CNY,2026-12-17,ATT-00005
PO-2026-00032,V0008,ClearView Ops,AI_CONSULTING,AI治理采购，用于二期扩容,模型风险 - 加急包,20177,CNY,2026-01-17,
PO-2026-00033,,北辰,AI_CONSULTING,AI治理采购，用于二期扩容,制度设计 - 加急包,50782,CNY,2026-04-22,ATT-00011
PO-2026-00034,V0012,远岚会议服务,TRAVEL_EVENT,酒店采购，用于二期扩容,活动执行 - 加急包,8847,CNY,2026-12-27,
PO-2026-00035,V0010,启衡办公用品,OFFICE_SUPPLY,桌椅采购，用于年度专项,桌椅 - 加急包,50094,CNY,2026-02-02,
PO-2026-00036,,启明,DATA_GOVERNANCE,内部专项采购,标签治理 - 标准包,62274,CNY,2026-09-21,ATT-00020
PO-2026-00037,V0011,启衡智能设备,OFFICE_SUPPLY,办公采购，用于平台建设,办公 - 专项包,50121,CNY,2026-02-25,
PO-2026-00038,V0001,星河算力科技,COMPUTE_SERVICE,推理节点采购，用于年度专项,压测资源 - 月度包,6662,CNY,2026-04-13,
PO-2026-00039,V0002,星河咨询服务有限公司,AI_CONSULTING,制度设计采购，用于平台建设,模型风险 - 月度包,15757,CNY,2026-12-01,
PO-2026-00040,V0028,云桥 Events,AI_CONSULTING,制度设计采购，用于临时支持,制度设计 - 加急包,,CNY,2026-09-23,ATT-00023
PO-2026-00041,V0004,北辰安全技术,SECURITY_ASSESSMENT,红队采购，用于年度专项,红队 - 月度包,24766,CNY,2026-01-21,ATT-00006
PO-2026-00042,V0006,云杉数据治理有限公司,DATA_GOVERNANCE,血缘采购，用于临时支持,数据目录 - 标准包,45807,CNY,2026-07-23,
PO-2026-00043,,云杉,SOFTWARE_SUBSCRIPTION,账号采购，用于平台建设,API 调用 - 轻量包,9259,CNY,2026-11-23,ATT-00013
PO-2026-00044,V0058,海岳 Devices,AI_CONSULTING,AI治理采购，用于临时支持,模型风险 - 轻量包,18586,USD,2026-10-06,ATT-00024
PO-2026-00045,V0013,星火算力科技,SOFTWARE_SUBSCRIPTION,订阅采购，用于平台建设,年费 - 标准包,15397,,2026-09-06,ATT-00025
PO-2026-00046,V0011,Qiheng Devices,HARDWARE_DEVICE,测试手机采购，用于交付保障,智能硬件 - 补充包,63234,CNY,2026-09-22,ATT-00007
PO-2026-00047,V0009,澄明培训咨询,AI_CONSULTING,制度设计采购，用于临时支持,AI治理 - 加急包,39316,CNY,2026-04-02,
PO-2026-00048,V0008,澄明运营咨询,AI_CONSULTING,模型风险采购，用于平台建设,培训工作坊 - 月度包,34632,CNY,2026-03-23,
PO-2026-00049,V0005,北辰合规咨询,AI_CONSULTING,培训工作坊采购，用于交付保障,AI治理 - 加急包,9106,CNY,2026-06-02,ATT-00008
PO-2026-00050,V0012,远岚会议服务,TRAVEL_EVENT,团建采购，用于年度专项,酒店 - 轻量包,10553,CNY,2026-02-21,
